Species,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,Comp31,Comp32
Gyroptychius agassizi,Calm freshwater lake,0.0868280225418377,-0.0899778450451887,-0.0384372996655387,-0.00713440870376007,0.0196308731997793,0.0296937588591963,-0.0216525886990271,-0.00666875292553902,-0.0035516213347282,-0.0106127217050414,0.00128702087483354,-0.0134697822522693,0.00806566877596161,0.000106497117443103,-0.00271827497379062,0.00700736447169932,0.00629678265266709,0.00709901419935046,0.00210498493112981,-0.00300949111227654,0.00162889730163748,0.0102933918311455,-0.000907232485784167,0.00503700289370315,0.00243376720764627,0.00426148411510578,-0.00218510289526278,-0.00477414133906461,0.00180042972691178,-0.0020591539733307,-0.00277637998471181,0.00476316033033336
Hadronector donbairdi,Bay,-0.255983344829933,0.0426062266993778,-0.000774417459939968,-0.0224935153704212,0.0236783044099073,0.00375209238890138,0.00845072434876226,0.0562014382133776,0.0176853882905312,-0.0281845745605624,0.0127469098836795,-0.003422417107441,0.00653166643448774,-0.0243514103298367,0.00689094537507476,-0.00691468086622173,0.00542429136258836,0.0170987496279635,0.00736047894348971,-0.00187370655469757,-0.00814757237007331,-0.00516479206392218,0.00280145800687812,-0.000528591847478977,-0.00701672825989538,0.00314232730799317,-0.000549891842648959,0.000368850159015153,-0.000876689949761256,0.000651818974261014,0.000490231700369868,0.000898952349069074
Heddleichthys dalgleisiensis,Dynamic freshwater lake,0.119412656989896,-0.0461909751489297,-0.0644250158354176,-0.013633115597152,0.0138563689934074,0.0180408296692816,0.0233775981855362,0.00978467315286126,0.012801410973491,-0.0116269895925135,-0.00705548810868923,0.0108415758037522,-0.00414897581870763,0.0102504927234342,0.00442775198479054,-0.0100974089839489,-0.00180465086861699,-0.0118287661588236,0.00747395369658648,-0.0158131267992177,0.00255650209550073,-0.00671431671897601,0.00436774439583228,-0.000917375694093982,0.0032217207530048,0.00853899683867751,0.00155209272809204,-0.000183155228342687,0.00449641484329849,-0.00084820245348972,0.00242478697701957,-0.000299204605472204
Heimenia ensis,Alluvial plain,0.0878014739949941,0.0265076000662273,-0.0174777237447204,0.000376826717063258,0.114286796754883,0.00944115096989396,-0.0371753155119858,0.0404956555347698,0.0198831423154499,0.0210329546313034,0.0227246604652876,0.0117314536456076,-0.000934551498520958,-0.00590652954013401,-0.000101794451768964,0.0154370185696488,-0.0208043095282851,0.00470963671065446,0.000199467534499939,-0.00279933379150586,0.00322999940176985,-0.00689254711981236,-0.00527284216095907,-0.00144955495463549,0.00671923635973849,-0.0028716245146387,0.000788571491347831,-0.0024778185865872,-0.00185644486409639,0.000277700502813838,-0.000102634370157212,0.000144235131193268
Holoptychius jarviki,Estuary,0.0908616653887943,0.0731806765291937,0.0116109293886292,-0.0366869495469577,0.0585798796227347,-0.00387301419390295,-0.0231349148729727,0.010071506728627,-0.0071358996331079,0.0168009450331471,0.000157617247305798,-0.00143936142948927,-0.014265201087335,0.00956748037144853,-0.00674322508048008,-0.00490395462712973,-0.00431224257558231,-0.00940903066607191,-0.00118380016777912,0.00408501256525495,-0.00540939870090318,0.00414324349223917,-0.000684367503439481,0.000749023593117714,-0.00849236667269392,0.00278673690742125,0.00821460397627874,-0.00216351695337647,0.00229942286604664,0.00461229493252743,-0.0019639455133394,0.000546193031690416
Holoptychius nobilissimus,Dynamic freshwater lake,0.096662936373755,0.100781731795384,-0.018464830730877,8.99506078046057e-05,0.0384472874730319,-0.0101726714948178,-0.0155051028523474,0.0122330137345574,-0.0101580875162728,0.0196667061238854,-0.00926202600568049,-0.0158687692159679,-0.0264187481245426,0.00862420095552142,-0.00234783637766142,-0.00900402821430743,-0.00020769299737563,0.00828208558486345,-0.00148233638421873,0.00254655285661716,-0.0070033480265769,-0.00363590245352633,0.00432128514673304,0.00376523635258674,0.00190092194868929,-0.00211532363653236,-0.00193413815832451,0.0052433181111218,0.00183360157482046,-0.00601454409674106,-0.00170965638658062,-2.47688624529412e-05
Lochmocercus aciculodontus,Bay,-0.175882083396583,0.0228837205835921,0.0275807972315431,-0.0527066857130159,0.0282513084507294,0.0587809132068864,0.00687589642144478,0.00672245777939936,-0.000270228998799627,-0.0184812595932217,-0.02486248209579,0.011613773237593,0.0206933646245933,-0.00127439167010649,-0.0294866005990999,0.000493001479147055,0.00181828463409193,-0.0048445655809748,0.00775732361584609,0.00245130477926464,0.00102597580829136,0.000865806276103312,-0.00250078453139315,-0.00622252770715067,0.000516631552831125,-0.00579269546753654,0.00205435324850645,0.0022012856794535,0.00388192252467847,-0.00231602851223166,-0.000670351231553906,-0.000251438949049358
Mandageria fairfaxi,Oxbow lake/meandering river,0.168034793353973,-0.0855493986370789,-0.0816503787851197,-0.03234182761762,-0.0283787309250743,-0.00755754492907743,0.0262280121645356,-0.000167692445879504,0.0151272264131811,-0.00361735761573701,-0.00866407998201111,0.011624477050226,-0.0179906667661127,0.00314986971587011,-0.00993188660340699,-0.0099636642436641,-0.00403410665055335,-0.000832001673998989,0.00652105519120525,-0.0054722710719709,-0.00404057260811126,0.00380748655761529,0.00477825274395145,-0.00485700120162162,-0.000872054173752107,-0.00836832302591788,-0.00353281750130184,-0.000224534781758979,-0.0051563984877897,0.00284660290847992,0.000468790491634442,0.00232068559100004
Miguashaia bureaui,Estuary,-0.0220830109554418,0.121899999392324,0.00156328654845463,0.0625375759809192,0.0551859090382117,-0.0640100370158486,-0.00337644925480299,-0.0389771069274996,0.00428743284731394,-0.000733401170279109,0.010765069259486,0.0457173236242192,0.0109564874368295,0.00345433451105723,-0.0102454006691196,-0.0120208450700789,0.00726206728036845,0.00517176681647283,8.80703463812524e-05,-0.0033649390195242,0.00152389590396744,0.00458459153671552,0.00134593968017209,0.0041383306431971,3.8950402194662e-05,0.00340183698436761,-0.00130603719926943,-0.000961746335273353,-0.0035838524399312,-0.00107264998058724,-0.00137948510502566,-0.00150910340162724
Osteolepis macrolepidotus,Calm freshwater lake,0.0377074037224944,-0.0630994200160763,0.0572708467496625,-0.0210661381156789,-0.05673346764193,-0.0332328443507857,-0.0369675051022886,0.00770324336613712,-0.0142991166528194,0.00944211523927034,-0.0192483767409511,0.0164110092514882,0.0103387016502104,-0.00546639492216223,0.00876626046383738,-0.00130551617843593,-0.0118122420029752,0.00531239617541249,-0.0038899817534211,-0.00327605659549059,0.00548313602332972,-0.00335067993137963,0.00477609074300344,0.00177422910913893,-0.00151596552629347,-0.00148603410893588,-0.00519517649354207,0.00303209046568396,0.00514070812162816,0.0038186845255842,-0.00352960321118143,-0.000403745945632383
